available_files,metadata_stations,missing_from_available
ASN00006023,ASN00006023,
ASN00006024,ASN00006024,
ASN00006025,ASN00006025,
ASN00006026,ASN00006026,
ASN00006027,ASN00006027,
ASN00006028,ASN00006028,
ASN00006029,ASN00006029,
ASN00006030,ASN00006030,
ASN00006031,ASN00006031,
ASN00006032,ASN00006032,
ASN00006033,ASN00006033,
ASN00006034,ASN00006034,
ASN00006035,ASN00006035,
ASN00006036,ASN00006036,
ASN00006037,ASN00006037,
ASN00006038,ASN00006038,
ASN00006039,ASN00006039,
ASN00006040,ASN00006040,
ASN00006041,ASN00006041,
ASN00006042,ASN00006042,
ASN00006043,ASN00006043,
ASN00006044,ASN00006044,
ASN00006045,ASN00006045,
ASN00006046,ASN00006046,
ASN00006047,ASN00006047,
ASN00006048,ASN00006048,
ASN00006049,ASN00006049,
ASN00006050,ASN00006050,
ASN00006051,ASN00006051,
ASN00006052,ASN00006052,
ASN00006053,ASN00006053,
ASN00006054,ASN00006054,
ASN00006055,ASN00006055,
ASN00006056,ASN00006056,
ASN00006057,ASN00006057,
ASN00006058,ASN00006058,
ASN00006059,ASN00006059,
ASN00006060,ASN00006060,
ASN00006061,ASN00006061,
ASN00006062,ASN00006062,
ASN00006063,ASN00006063,
ASN00006064,ASN00006064,
ASN00006065,ASN00006065,
ASN00006066,ASN00006066,
ASN00006067,ASN00006067,
ASN00006068,ASN00006068,
ASN00006069,ASN00006069,
ASN00006070,ASN00006070,
ASN00006071,ASN00006071,
ASN00006072,ASN00006072,
ASN00006073,ASN00006073,
ASN00006074,ASN00006074,
ASN00006075,ASN00006075,
ASN00006076,ASN00006076,
ASN00006077,ASN00006077,
ASN00006078,ASN00006078,
ASN00006079,ASN00006079,
ASN00006080,ASN00006080,
ASN00006081,ASN00006081,
ASN00006082,ASN00006082,
ASN00006083,ASN00006083,
ASN00006084,ASN00006084,
ASN00006085,ASN00006085,
ASN00006087,ASN00006087,
ASN00006088,ASN00006088,
ASN00006089,ASN00006089,
ASN00006090,ASN00006090,
ASN00006091,ASN00006091,
ASN00006092,ASN00006092,
ASN00006093,ASN00006093,
ASN00006094,ASN00006094,
ASN00006095,ASN00006095,
ASN00006096,ASN00006096,
ASN00006097,ASN00006097,
ASN00006098,ASN00006098,
ASN00006099,ASN00006099,
ASN00006100,ASN00006100,
ASN00006101,ASN00006101,
ASN00006102,ASN00006102,
ASN00006103,ASN00006103,
ASN00006105,ASN00006105,
ASN00006106,ASN00006106,
ASN00006107,ASN00006107,
ASN00007000,ASN00007000,
ASN00007001,ASN00007001,
ASN00007002,ASN00007002,
ASN00007003,ASN00007003,
ASN00007004,ASN00007004,
ASN00007005,ASN00007005,
ASN00007006,ASN00007006,
ASN00007007,ASN00007007,
ASN00007008,ASN00007008,
ASN00007009,ASN00007009,
ASN00007010,ASN00007010,
ASN00007011,ASN00007011,
ASN00007012,ASN00007012,
ASN00007013,ASN00007013,
ASN00007014,ASN00007014,
ASN00007015,ASN00007015,
ASN00007016,ASN00007016,
ASN00007017,ASN00007017,
ASN00007018,ASN00007018,
ASN00007019,ASN00007019,
ASN00007020,ASN00007020,
ASN00007021,ASN00007021,
ASN00007022,ASN00007022,
